,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos quinquenales de edad,Población de 15 años y más,Alfabetas :Total,Alfabetas :Hombres,Analfabetas :Mujeres,Analfabetas :Total,Analfabetas :Hombres,Analfabetas :Mujeres
107,Estados Unidos Mexicanos,Total,100 000  y más hab.,55 a 59 años,616725,528205,262748,265457,88520,25986,62534
108,Estados Unidos Mexicanos,Total,100 000  y más hab.,60 a 64 años,436248,363935,174234,189701,72313,21059,51254
109,Estados Unidos Mexicanos,Total,100 000  y más hab.,65 y más años,969473,739770,336748,403022,229703,65875,163828
110,Estados Unidos Mexicanos,01  Aguascalientes,Total,Total,283414,252624,123546,129078,30790,12404,18386
111,Estados Unidos Mexicanos,01  Aguascalientes,Total,15 a 19 años,61323,58938,29000,29938,2385,1238,1147
112,Estados Unidos Mexicanos,01  Aguascalientes,Total,20 a 24 años,46722,44545,21294,23251,2177,965,1212
113,Estados Unidos Mexicanos,01  Aguascalientes,Total,25 a 29 años,34885,32595,15573,17022,2290,917,1373
114,Estados Unidos Mexicanos,01  Aguascalientes,Total,30 a 34 años,28182,25829,12527,13302,2353,946,1407
115,Estados Unidos Mexicanos,01  Aguascalientes,Total,35 a 39 años,23792,21226,10495,10731,2566,1049,1517
116,Estados Unidos Mexicanos,01  Aguascalientes,Total,40 a 44 años,18619,16191,8012,8179,2428,880,1548
117,Estados Unidos Mexicanos,01  Aguascalientes,Total,45 a 49 años,16095,13513,6719,6794,2582,911,1671
118,Estados Unidos Mexicanos,01  Aguascalientes,Total,50 a 54 años,13470,10809,5337,5472,2661,948,1713
119,Estados Unidos Mexicanos,01  Aguascalientes,Total,55 a 59 años,11247,8830,4495,4335,2417,934,1483
120,Estados Unidos Mexicanos,01  Aguascalientes,Total,60 a 64 años,8252,6322,3235,3087,1930,737,1193
121,Estados Unidos Mexicanos,01  Aguascalientes,Total,65 y más años,20827,13826,6859,6967,7001,2879,4122
122,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,Total,76345,63844,33221,30623,12501,5725,6776
123,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,15 a 19 años,17363,16213,8253,7960,1150,663,487
124,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,20 a 24 años,12238,11316,5680,5636,922,441,481
125,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,25 a 29 años,8824,7838,3968,3870,986,417,569
126,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,30 a 34 años,7338,6385,3244,3141,953,430,523
127,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,35 a 39 años,6531,5447,2843,2604,1084,480,604
128,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,40 a 44 años,5153,4125,2141,1984,1028,446,582
129,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,45 a 49 años,4663,3616,1988,1628,1047,432,615
130,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,50 a 54 años,3647,2620,1444,1176,1027,437,590
131,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,55 a 59 años,2990,2089,1192,897,901,398,503
132,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,60 a 64 años,2198,1439,850,589,759,311,448
133,Estados Unidos Mexicanos,01  Aguascalientes,1 a 2 499 hab.,65 y más años,5400,2756,1618,1138,2644,1270,1374
134,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,Total,9967,8790,4371,4419,1177,513,664
135,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,15 a 19 años,2274,2183,1037,1146,91,46,45
136,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,20 a 24 años,1587,1503,754,749,84,39,45
137,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,25 a 29 años,1113,1042,491,551,71,29,42
138,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,30 a 34 años,940,833,427,406,107,41,66
139,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,35 a 39 años,790,690,341,349,100,41,59
140,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,40 a 44 años,667,575,297,278,92,39,53
141,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,45 a 49 años,628,524,256,268,104,54,50
142,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,50 a 54 años,500,404,222,182,96,38,58
143,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,55 a 59 años,401,314,154,160,87,39,48
144,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,60 a 64 años,299,232,120,112,67,29,38
145,Estados Unidos Mexicanos,01  Aguascalientes,2 500 a 4 999 hab.,65 y más años,768,490,272,218,278,118,160
146,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,Total,7070,5688,2931,2757,1382,634,748
147,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,15 a 19 años,1497,1351,686,665,146,56,90
148,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,20 a 24 años,1241,1092,543,549,149,71,78
149,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,25 a 29 años,909,782,394,388,127,60,67
150,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,30 a 34 años,747,619,324,295,128,53,75
151,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,35 a 39 años,721,561,276,285,160,84,76
152,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,40 a 44 años,482,365,191,174,117,38,79
153,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,45 a 49 años,374,274,150,124,100,42,58
154,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,50 a 54 años,284,172,89,83,112,60,52
155,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,55 a 59 años,255,166,103,63,89,33,56
156,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,60 a 64 años,174,110,69,41,64,27,37
157,Estados Unidos Mexicanos,01  Aguascalientes,5 000 a 9 999 hab.,65 y más años,386,196,106,90,190,110,80
158,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,Total,21103,18487,9057,9430,2616,1124,1492
159,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,15 a 19 años,4731,4555,2269,2286,176,84,92
160,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,20 a 24 años,3425,3265,1531,1734,160,73,87
161,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,25 a 29 años,2505,2314,1101,1213,191,79,112
162,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,30 a 34 años,1964,1778,853,925,186,72,114
163,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,35 a 39 años,1631,1427,697,730,204,92,112
164,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,40 a 44 años,1354,1168,583,585,186,69,117
165,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,45 a 49 años,1240,1047,520,527,193,78,115
166,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,50 a 54 años,1031,776,397,379,255,95,160
167,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,55 a 59 años,894,654,332,322,240,106,134
168,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,60 a 64 años,641,456,242,214,185,83,102
169,Estados Unidos Mexicanos,01  Aguascalientes,10 000 a 14 999 hab.,65 y más años,1687,1047,532,515,640,293,347
170,Estados Unidos Mexicanos,01  Aguascalientes,15 000 a 19 999 hab.,Total,0,0,0,0,0,0,0
171,Estados Unidos Mexicanos,01  Aguascalientes,20 000 a 49 999 hab.,Total,0,0,0,0,0,0,0
172,Estados Unidos Mexicanos,01  Aguascalientes,50 000 a 99 999 hab.,Total,0,0,0,0,0,0,0
173,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,Total,168929,155815,73966,81849,13114,4408,8706
174,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,15 a 19 años,35458,34636,16755,17881,822,389,433
175,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,20 a 24 años,28231,27369,12786,14583,862,341,521
176,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,25 a 29 años,21534,20619,9619,11000,915,332,583
177,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,30 a 34 años,17193,16214,7679,8535,979,350,629
178,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,35 a 39 años,14119,13101,6338,6763,1018,352,666
179,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,40 a 44 años,10963,9958,4800,5158,1005,288,717
180,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,45 a 49 años,9190,8052,3805,4247,1138,305,833
181,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,50 a 54 años,8008,6837,3185,3652,1171,318,853
182,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,55 a 59 años,6707,5607,2714,2893,1100,358,742
183,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,60 a 64 años,4940,4085,1954,2131,855,287,568
184,Estados Unidos Mexicanos,01  Aguascalientes,100 000  y más hab.,65 y más años,12586,9337,4331,5006,3249,1088,2161
185,Estados Unidos Mexicanos,02  Baja California,Total,Total,697135,650957,320536,330421,46178,18554,27624
186,Estados Unidos Mexicanos,02  Baja California,Total,15 a 19 años,144099,141474,69728,71746,2625,1352,1273
187,Estados Unidos Mexicanos,02  Baja California,Total,20 a 24 años,116657,113497,54227,59270,3160,1376,1784
188,Estados Unidos Mexicanos,02  Baja California,Total,25 a 29 años,88614,85268,40585,44683,3346,1415,1931
189,Estados Unidos Mexicanos,02  Baja California,Total,30 a 34 años,71937,68229,33075,35154,3708,1497,2211
190,Estados Unidos Mexicanos,02  Baja California,Total,35 a 39 años,60757,56665,27968,28697,4092,1556,2536
191,Estados Unidos Mexicanos,02  Baja California,Total,40 a 44 años,50405,46215,23166,23049,4190,1594,2596
192,Estados Unidos Mexicanos,02  Baja California,Total,45 a 49 años,43287,38908,19645,19263,4379,1664,2715
193,Estados Unidos Mexicanos,02  Baja California,Total,50 a 54 años,35958,31349,16298,15051,4609,1738,2871
194,Estados Unidos Mexicanos,02  Baja California,Total,55 a 59 años,28184,24248,13113,11135,3936,1655,2281
195,Estados Unidos Mexicanos,02  Baja California,Total,60 a 64 años,19773,16466,8637,7829,3307,1320,1987
196,Estados Unidos Mexicanos,02  Baja California,Total,65 y más años,37464,28638,14094,14544,8826,3387,5439
197,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,Total,97300,85628,45432,40196,11672,5510,6162
198,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,15 a 19 años,21189,20393,10493,9900,796,450,346
199,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,20 a 24 años,14973,14112,7276,6836,861,418,443
200,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,25 a 29 años,11181,10247,5234,5013,934,451,483
201,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,30 a 34 años,9133,8198,4166,4032,935,425,510
202,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,35 a 39 años,8448,7299,3761,3538,1149,490,659
203,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,40 a 44 años,7396,6323,3385,2938,1073,474,599
204,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,45 a 49 años,6230,5187,2793,2394,1043,467,576
205,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,50 a 54 años,5402,4194,2436,1758,1208,543,665
206,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,55 a 59 años,4277,3364,2045,1319,913,460,453
207,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,60 a 64 años,3034,2230,1366,864,804,376,428
208,Estados Unidos Mexicanos,02  Baja California,1 a 2 499 hab.,65 y más años,6037,4081,2477,1604,1956,956,1000
209,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,Total,17384,15307,7835,7472,2077,937,1140
210,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,15 a 19 años,3982,3858,1923,1935,124,68,56
211,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,20 a 24 años,2664,2526,1239,1287,138,62,76
212,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,25 a 29 años,1926,1813,897,916,113,54,59
213,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,30 a 34 años,1644,1441,714,727,203,85,118
214,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,35 a 39 años,1501,1327,656,671,174,67,107
215,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,40 a 44 años,1298,1076,562,514,222,98,124
216,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,45 a 49 años,1119,900,496,404,219,110,109
217,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,50 a 54 años,946,725,412,313,221,81,140
218,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,55 a 59 años,747,576,337,239,171,78,93
219,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,60 a 64 años,520,367,210,157,153,76,77
220,Estados Unidos Mexicanos,02  Baja California,2 500 a 4 999 hab.,65 y más años,1037,698,389,309,339,158,181
221,Estados Unidos Mexicanos,02  Baja California,5 000 a 9 999 hab.,Total,32418,29805,15128,14677,2613,1131,1482
222,Estados Unidos Mexicanos,02  Baja California,5 000 a 9 999 hab.,15 a 19 años,7127,6957,3557,3400,170,90,80
223,Estados Unidos Mexicanos,02  Baja California,5 000 a 9 999 hab.,20 a 24 años,5259,5069,2513,2556,190,78,112
224,Estados Unidos Mexicanos,02  Baja California,5 000 a 9 999 hab.,25 a 29 años,4024,3809,1836,1973,215,91,124
225,Estados Unidos Mexicanos,02  Baja California,5 000 a 9 999 hab.,30 a 34 años,3401,3181,1556,1625,220,111,109
