,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos quinquenales de edad,Población de 15 años y más,Alfabetas :Total,Alfabetas :Hombres,Analfabetas :Mujeres,Analfabetas :Total,Analfabetas :Hombres,Analfabetas :Mujeres
1415,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,Total,392113,318928,171428,147500,73185,25082,48103
1416,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,15 a 19 años,80382,75623,38680,36943,4759,1699,3060
1417,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,20 a 24 años,64758,58953,30201,28752,5805,1956,3849
1418,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,25 a 29 años,51324,45038,23373,21665,6286,2199,4087
1419,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,30 a 34 años,41544,34900,18801,16099,6644,2231,4413
1420,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,35 a 39 años,36146,28328,15752,12576,7818,2594,5224
1421,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,40 a 44 años,27567,20590,11803,8787,6977,2414,4563
1422,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,45 a 49 años,23339,16435,9549,6886,6904,2374,4530
1423,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,50 a 54 años,17775,11919,6989,4930,5856,1953,3903
1424,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,55 a 59 años,14256,9106,5494,3612,5150,1741,3409
1425,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,60 a 64 años,9967,5792,3506,2286,4175,1521,2654
1426,Estados Unidos Mexicanos,15  México,2 500 a 4 999 hab.,65 y más años,25055,12244,7280,4964,12811,4400,8411
1427,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,Total,309453,266270,138307,127963,43183,13988,29195
1428,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,15 a 19 años,62610,60316,30243,30073,2294,850,1444
1429,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,20 a 24 años,51809,48693,23875,24818,3116,1063,2053
1430,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,25 a 29 años,42079,38524,19299,19225,3555,1146,2409
1431,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,30 a 34 años,34136,30394,16028,14366,3742,1255,2487
1432,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,35 a 39 años,29085,24687,13298,11389,4398,1385,3013
1433,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,40 a 44 años,22211,18178,10105,8073,4033,1303,2730
1434,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,45 a 49 años,18008,13845,7574,6271,4163,1280,2883
1435,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,50 a 54 años,13364,9770,5550,4220,3594,1058,2536
1436,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,55 a 59 años,10623,7383,4267,3116,3240,1038,2202
1437,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,60 a 64 años,7197,4678,2637,2041,2519,840,1679
1438,Estados Unidos Mexicanos,15  México,5 000 a 9 999 hab.,65 y más años,18331,9802,5431,4371,8529,2770,5759
1439,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,Total,148049,130585,66770,63815,17464,5604,11860
1440,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,15 a 19 años,30015,29075,14380,14695,940,352,588
1441,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,20 a 24 años,25233,24006,11669,12337,1227,393,834
1442,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,25 a 29 años,20606,19170,9555,9615,1436,488,948
1443,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,30 a 34 años,16910,15367,7949,7418,1543,475,1068
1444,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,35 a 39 años,13759,12037,6376,5661,1722,523,1199
1445,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,40 a 44 años,10528,8924,4842,4082,1604,506,1098
1446,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,45 a 49 años,8382,6701,3652,3049,1681,511,1170
1447,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,50 a 54 años,6417,4783,2642,2141,1634,528,1106
1448,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,55 a 59 años,4931,3637,2088,1549,1294,436,858
1449,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,60 a 64 años,3292,2257,1202,1055,1035,359,676
1450,Estados Unidos Mexicanos,15  México,10 000 a 14 999 hab.,65 y más años,7976,4628,2415,2213,3348,1033,2315
1451,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,Total,143526,127438,65311,62127,16088,5044,11044
1452,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,15 a 19 años,29026,28129,13943,14186,897,336,561
1453,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,20 a 24 años,24263,23106,11187,11919,1157,338,819
1454,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,25 a 29 años,20709,19342,9520,9822,1367,452,915
1455,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,30 a 34 años,17065,15491,7917,7574,1574,546,1028
1456,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,35 a 39 años,13837,12160,6722,5438,1677,521,1156
1457,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,40 a 44 años,10181,8602,4686,3916,1579,494,1085
1458,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,45 a 49 años,7894,6307,3605,2702,1587,453,1134
1459,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,50 a 54 años,5725,4406,2382,2024,1319,368,951
1460,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,55 a 59 años,4593,3412,1933,1479,1181,373,808
1461,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,60 a 64 años,3012,2114,1134,980,898,277,621
1462,Estados Unidos Mexicanos,15  México,15 000 a 19 999 hab.,65 y más años,7221,4369,2282,2087,2852,886,1966
1463,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,Total,86836,80909,40395,40514,5927,1776,4151
1464,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,15 a 19 años,16757,16452,8278,8174,305,113,192
1465,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,20 a 24 años,14305,13919,6624,7295,386,138,248
1466,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,25 a 29 años,12297,11817,5626,6191,480,163,317
1467,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,30 a 34 años,10741,10219,5062,5157,522,163,359
1468,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,35 a 39 años,8764,8220,4313,3907,544,140,404
1469,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,40 a 44 años,6722,6168,3186,2982,554,175,379
1470,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,45 a 49 años,4735,4238,2262,1976,497,139,358
1471,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,50 a 54 años,3643,3097,1646,1451,546,143,403
1472,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,55 a 59 años,2768,2318,1196,1122,450,128,322
1473,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,60 a 64 años,1828,1460,744,716,368,116,252
1474,Estados Unidos Mexicanos,15  México,20 000 a 49 999 hab.,65 y más años,4276,3001,1458,1543,1275,358,917
1475,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,Total,33998,33436,15883,17553,562,94,468
1476,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,15 a 19 años,6269,6223,3021,3202,46,16,30
1477,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,20 a 24 años,4478,4455,2062,2393,23,9,14
1478,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,25 a 29 años,4481,4450,1944,2506,31,9,22
1479,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,30 a 34 años,5205,5185,2292,2893,20,5,15
1480,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,35 a 39 años,4452,4411,2284,2127,41,5,36
1481,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,40 a 44 años,2810,2792,1513,1279,18,2,16
1482,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,45 a 49 años,1856,1826,966,860,30,3,27
1483,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,50 a 54 años,1331,1286,625,661,45,4,41
1484,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,55 a 59 años,1022,964,438,526,58,5,53
1485,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,60 a 64 años,768,710,292,418,58,8,50
1486,Estados Unidos Mexicanos,15  México,50 000 a 99 999 hab.,65 y más años,1326,1134,446,688,192,28,164
1487,Estados Unidos Mexicanos,15  México,100 000  y más hab.,Total,2237798,2054313,1035455,1018858,183485,50699,132786
1488,Estados Unidos Mexicanos,15  México,100 000  y más hab.,15 a 19 años,467309,455947,221472,234475,11362,3653,7709
1489,Estados Unidos Mexicanos,15  México,100 000  y más hab.,20 a 24 años,403132,387595,188438,199157,15537,4559,10978
1490,Estados Unidos Mexicanos,15  México,100 000  y más hab.,25 a 29 años,317543,301139,148150,152989,16404,4862,11542
1491,Estados Unidos Mexicanos,15  México,100 000  y más hab.,30 a 34 años,258656,241690,122539,119151,16966,4755,12211
1492,Estados Unidos Mexicanos,15  México,100 000  y más hab.,35 a 39 años,216540,196480,102311,94169,20060,5332,14728
1493,Estados Unidos Mexicanos,15  México,100 000  y más hab.,40 a 44 años,164282,145503,78576,66927,18779,5041,13738
1494,Estados Unidos Mexicanos,15  México,100 000  y más hab.,45 a 49 años,127227,109049,59090,49959,18178,4688,13490
1495,Estados Unidos Mexicanos,15  México,100 000  y más hab.,50 a 54 años,91351,75272,41221,34051,16079,4201,11878
1496,Estados Unidos Mexicanos,15  México,100 000  y más hab.,55 a 59 años,67010,53559,29854,23705,13451,3655,9796
1497,Estados Unidos Mexicanos,15  México,100 000  y más hab.,60 a 64 años,42071,32242,16925,15317,9829,2658,7171
1498,Estados Unidos Mexicanos,15  México,100 000  y más hab.,65 y más años,82677,55837,26879,28958,26840,7295,19545
1499,Estados Unidos Mexicanos,16  Michoacán,Total,Total,1571866,1175222,589280,585942,396644,172379,224265
1500,Estados Unidos Mexicanos,16  Michoacán,Total,15 a 19 años,340387,302383,147884,154499,38004,18504,19500
1501,Estados Unidos Mexicanos,16  Michoacán,Total,20 a 24 años,246368,209776,100986,108790,36592,16025,20567
1502,Estados Unidos Mexicanos,16  Michoacán,Total,25 a 29 años,180212,145560,71554,74006,34652,14911,19741
1503,Estados Unidos Mexicanos,16  Michoacán,Total,30 a 34 años,144658,110729,55196,55533,33929,14525,19404
1504,Estados Unidos Mexicanos,16  Michoacán,Total,35 a 39 años,133260,96480,48390,48090,36780,15155,21625
1505,Estados Unidos Mexicanos,16  Michoacán,Total,40 a 44 años,112673,76724,39607,37117,35949,15004,20945
1506,Estados Unidos Mexicanos,16  Michoacán,Total,45 a 49 años,97833,63461,33156,30305,34372,14120,20252
1507,Estados Unidos Mexicanos,16  Michoacán,Total,50 a 54 años,80375,48688,26138,22550,31687,13262,18425
1508,Estados Unidos Mexicanos,16  Michoacán,Total,55 a 59 años,60648,36283,19910,16373,24365,10578,13787
1509,Estados Unidos Mexicanos,16  Michoacán,Total,60 a 64 años,51573,27398,14905,12493,24175,10590,13585
1510,Estados Unidos Mexicanos,16  Michoacán,Total,65 y más años,123879,57740,31554,26186,66139,29705,36434
1511,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,Total,703302,468227,243276,224951,235075,107159,127916
1512,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,15 a 19 años,152599,128175,63870,64305,24424,12383,12041
1513,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,20 a 24 años,103450,81459,40286,41173,21991,9953,12038
1514,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,25 a 29 años,76397,55597,28071,27526,20800,9263,11537
1515,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,30 a 34 años,62853,42467,21801,20666,20386,9117,11269
1516,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,35 a 39 años,60966,38732,19878,18854,22234,9581,12653
1517,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,40 a 44 años,52140,30748,16467,14281,21392,9443,11949
1518,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,45 a 49 años,46151,25734,14217,11517,20417,8796,11621
1519,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,50 a 54 años,37864,19263,10937,8326,18601,8188,10413
1520,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,55 a 59 años,28285,14183,8401,5782,14102,6492,7610
1521,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,60 a 64 años,24713,10736,6401,4335,13977,6430,7547
1522,Estados Unidos Mexicanos,16  Michoacán,1 a 2 499 hab.,65 y más años,57884,21133,12947,8186,36751,17513,19238
1523,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,Total,105082,75814,38211,37603,29268,12036,17232
1524,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,15 a 19 años,21841,19126,9287,9839,2715,1073,1642
1525,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,20 a 24 años,15300,12670,6025,6645,2630,1115,1515
1526,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,25 a 29 años,11489,8969,4444,4525,2520,998,1522
1527,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,30 a 34 años,9271,6829,3431,3398,2442,991,1451
1528,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,35 a 39 años,9017,6364,3237,3127,2653,1042,1611
1529,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,40 a 44 años,7603,5059,2599,2460,2544,1016,1528
1530,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,45 a 49 años,6680,4234,2279,1955,2446,960,1486
1531,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,50 a 54 años,5649,3304,1751,1553,2345,938,1407
1532,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,55 a 59 años,4361,2552,1431,1121,1809,766,1043
1533,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,60 a 64 años,3839,2016,1106,910,1823,819,1004
1534,Estados Unidos Mexicanos,16  Michoacán,2 500 a 4 999 hab.,65 y más años,10032,4691,2621,2070,5341,2318,3023
1535,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,Total,141305,108003,52562,55441,33302,14587,18715
1536,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,15 a 19 años,30625,27736,13312,14424,2889,1459,1430
1537,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,20 a 24 años,21400,18348,8383,9965,3052,1366,1686
1538,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,25 a 29 años,15472,12810,6057,6753,2662,1187,1475
1539,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,30 a 34 años,12590,9875,4783,5092,2715,1160,1555
1540,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,35 a 39 años,11570,8655,4266,4389,2915,1225,1690
1541,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,40 a 44 años,10078,7126,3566,3560,2952,1222,1730
1542,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,45 a 49 años,8729,5869,2937,2932,2860,1190,1670
1543,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,50 a 54 años,7306,4634,2403,2231,2672,1110,1562
1544,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,55 a 59 años,5577,3541,1850,1691,2036,873,1163
1545,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,60 a 64 años,5077,2898,1567,1331,2179,938,1241
1546,Estados Unidos Mexicanos,16  Michoacán,5 000 a 9 999 hab.,65 y más años,12881,6511,3438,3073,6370,2857,3513
1547,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,Total,68833,54025,26916,27109,14808,6141,8667
1548,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,15 a 19 años,15014,13797,6801,6996,1217,562,655
1549,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,20 a 24 años,10657,9302,4441,4861,1355,590,765
1550,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,25 a 29 años,8112,6702,3258,3444,1410,565,845
1551,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,30 a 34 años,6408,5181,2606,2575,1227,492,735
1552,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,35 a 39 años,5912,4485,2215,2270,1427,590,837
1553,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,40 a 44 años,4799,3496,1800,1696,1303,514,789
1554,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,45 a 49 años,4204,2908,1482,1426,1296,465,831
1555,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,50 a 54 años,3401,2272,1198,1074,1129,459,670
1556,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,55 a 59 años,2573,1679,916,763,894,382,512
1557,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,60 a 64 años,2310,1375,733,642,935,380,555
1558,Estados Unidos Mexicanos,16  Michoacán,10 000 a 14 999 hab.,65 y más años,5443,2828,1466,1362,2615,1142,1473
1559,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,Total,19022,15551,7356,8195,3471,1393,2078
1560,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,15 a 19 años,3996,3719,1727,1992,277,106,171
1561,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,20 a 24 años,2883,2608,1139,1469,275,130,145
1562,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,25 a 29 años,2115,1839,817,1022,276,113,163
1563,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,30 a 34 años,1743,1487,699,788,256,115,141
1564,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,35 a 39 años,1498,1216,584,632,282,119,163
1565,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,40 a 44 años,1311,1021,503,518,290,115,175
1566,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,45 a 49 años,1139,846,413,433,293,107,186
1567,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,50 a 54 años,1056,745,377,368,311,106,205
1568,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,55 a 59 años,767,555,300,255,212,93,119
1569,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,60 a 64 años,676,447,229,218,229,99,130
1570,Estados Unidos Mexicanos,16  Michoacán,15 000 a 19 999 hab.,65 y más años,1838,1068,568,500,770,290,480
1571,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,Total,205990,166459,81005,85454,39531,15792,23739
1572,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,15 a 19 años,43884,40639,19331,21308,3245,1522,1723
1573,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,20 a 24 años,34053,30286,13832,16454,3767,1512,2255
1574,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,25 a 29 años,25588,21996,10588,11408,3592,1471,2121
1575,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,30 a 34 años,20304,16780,8319,8461,3524,1421,2103
1576,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,35 a 39 años,17629,13954,6910,7044,3675,1391,2284
1577,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,40 a 44 años,14375,10763,5466,5297,3612,1350,2262
1578,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,45 a 49 años,12009,8727,4453,4274,3282,1219,2063
1579,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,50 a 54 años,9998,6773,3600,3173,3225,1227,1998
1580,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,55 a 59 años,7515,4995,2604,2391,2520,959,1561
1581,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,60 a 64 años,6125,3749,1931,1818,2376,932,1444
1582,Estados Unidos Mexicanos,16  Michoacán,20 000 a 49 999 hab.,65 y más años,14510,7797,3971,3826,6713,2788,3925
1583,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,Total,80243,65375,32160,33215,14868,5905,8963
1584,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,15 a 19 años,16596,15093,7332,7761,1503,689,814
1585,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,20 a 24 años,12819,11353,5199,6154,1466,570,896
1586,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,25 a 29 años,10627,9067,4421,4646,1560,630,930
1587,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,30 a 34 años,8547,7125,3478,3647,1422,547,875
1588,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,35 a 39 años,7156,5722,2964,2758,1434,518,916
1589,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,40 a 44 años,5932,4535,2363,2172,1397,525,872
1590,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,45 a 49 años,4872,3561,1763,1798,1311,515,796
1591,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,50 a 54 años,3869,2718,1469,1249,1151,454,697
1592,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,55 a 59 años,2717,1829,984,845,888,373,515
1593,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,60 a 64 años,2246,1430,707,723,816,317,499
1594,Estados Unidos Mexicanos,16  Michoacán,50 000 a 99 999 hab.,65 y más años,4862,2942,1480,1462,1920,767,1153
1595,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,Total,248089,221768,107794,113974,26321,9366,16955
1596,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,15 a 19 años,55832,54098,26224,27874,1734,710,1024
1597,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,20 a 24 años,45806,43750,21681,22069,2056,789,1267
1598,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,25 a 29 años,30412,28580,13898,14682,1832,684,1148
1599,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,30 a 34 años,22942,20985,10079,10906,1957,682,1275
1600,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,35 a 39 años,19512,17352,8336,9016,2160,689,1471
1601,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,40 a 44 años,16435,13976,6843,7133,2459,819,1640
1602,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,45 a 49 años,14049,11582,5612,5970,2467,868,1599
1603,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,50 a 54 años,11232,8979,4403,4576,2253,780,1473
1604,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,55 a 59 años,8853,6949,3424,3525,1904,640,1264
1605,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,60 a 64 años,6587,4747,2231,2516,1840,675,1165
1606,Estados Unidos Mexicanos,16  Michoacán,100 000  y más hab.,65 y más años,16429,10770,5063,5707,5659,2030,3629
1607,Estados Unidos Mexicanos,17  Morelos,Total,Total,541424,449977,229265,220712,91447,35440,56007
1608,Estados Unidos Mexicanos,17  Morelos,Total,15 a 19 años,110921,104904,52023,52881,6017,2711,3306
1609,Estados Unidos Mexicanos,17  Morelos,Total,20 a 24 años,87085,79617,39043,40574,7468,3163,4305
1610,Estados Unidos Mexicanos,17  Morelos,Total,25 a 29 años,67105,59916,29958,29958,7189,2949,4240
1611,Estados Unidos Mexicanos,17  Morelos,Total,30 a 34 años,52968,45387,23207,22180,7581,3065,4516
1612,Estados Unidos Mexicanos,17  Morelos,Total,35 a 39 años,48299,38911,19825,19086,9388,3504,5884
1613,Estados Unidos Mexicanos,17  Morelos,Total,40 a 44 años,39187,30302,15979,14323,8885,3332,5553
1614,Estados Unidos Mexicanos,17  Morelos,Total,45 a 49 años,35143,25701,13554,12147,9442,3447,5995
1615,Estados Unidos Mexicanos,17  Morelos,Total,50 a 54 años,26844,19313,10447,8866,7531,2755,4776
1616,Estados Unidos Mexicanos,17  Morelos,Total,55 a 59 años,21338,14932,8362,6570,6406,2508,3898
1617,Estados Unidos Mexicanos,17  Morelos,Total,60 a 64 años,14048,9213,5047,4166,4835,1771,3064
1618,Estados Unidos Mexicanos,17  Morelos,Total,65 y más años,38486,21781,11820,9961,16705,6235,10470
1619,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,Total,133996,103318,55293,48025,30678,12708,17970
1620,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,15 a 19 años,28402,26086,13373,12713,2316,1123,1193
1621,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,20 a 24 años,21001,18311,9265,9046,2690,1163,1527
1622,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,25 a 29 años,15961,13462,7026,6436,2499,1061,1438
1623,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,30 a 34 años,12578,10041,5288,4753,2537,1108,1429
1624,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,35 a 39 años,12217,8958,4782,4176,3259,1316,1943
1625,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,40 a 44 años,9798,6763,3767,2996,3035,1194,1841
1626,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,45 a 49 años,9035,5898,3328,2570,3137,1216,1921
1627,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,50 a 54 años,6851,4385,2562,1823,2466,980,1486
1628,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,55 a 59 años,5361,3320,2045,1275,2041,894,1147
1629,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,60 a 64 años,3244,1788,1118,670,1456,558,898
1630,Estados Unidos Mexicanos,17  Morelos,1 a 2 499 hab.,65 y más años,9548,4306,2739,1567,5242,2095,3147
1631,Estados Unidos Mexicanos,17  Morelos,2 500 a 4 999 hab.,Total,89677,73568,38193,35375,16109,6185,9924
1632,Estados Unidos Mexicanos,17  Morelos,2 500 a 4 999 hab.,15 a 19 años,18409,17345,8729,8616,1064,453,611
1633,Estados Unidos Mexicanos,17  Morelos,2 500 a 4 999 hab.,20 a 24 años,14393,13159,6537,6622,1234,543,691
1634,Estados Unidos Mexicanos,17  Morelos,2 500 a 4 999 hab.,25 a 29 años,11116,9827,4987,4840,1289,502,787
1635,Estados Unidos Mexicanos,17  Morelos,2 500 a 4 999 hab.,30 a 34 años,8372,7077,3689,3388,1295,483,812
