,Estados Unidos Mexicanos,Entidad federativa,Área urbana y rural ,Alfabetismo,Sexo,Población de 6 años y más,6 años,7 años,8 años,9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 39 años,De 40 a 49 años,De 50 a 59 años,De 60 y más años,No indicados
57,Estados Unidos Mexicanos,Baja California,Total,Total,Hombres,205250,8856,8601,8010,6705,31043,23147,19145,18435,33647,21179,13078,10818,2586
58,Estados Unidos Mexicanos,Baja California,Total,Total,Mujeres,202701,8622,8338,7609,6705,30975,24746,18644,19595,31776,19069,11954,9772,4896
59,Estados Unidos Mexicanos,Baja California,Total,Alfabetos,Total,330951,2148,7903,10118,10629,56232,44854,34550,34307,57719,34454,20374,13908,3755
60,Estados Unidos Mexicanos,Baja California,Total,Alfabetos,Hombres,169025,1052,4163,5126,5254,28012,21697,17825,16947,30389,18643,10929,7719,1269
61,Estados Unidos Mexicanos,Baja California,Total,Alfabetos,Mujeres,161926,1096,3740,4992,5375,28220,23157,16725,17360,27330,15811,9445,6189,2486
62,Estados Unidos Mexicanos,Baja California,Total,Analfabetos,Total,77000,15330,9036,5501,2781,5786,3039,3239,3723,7704,5794,4658,6682,3727
63,Estados Unidos Mexicanos,Baja California,Total,Analfabetos,Hombres,36225,7804,4438,2884,1451,3031,1450,1320,1488,3258,2536,2149,3099,1317
64,Estados Unidos Mexicanos,Baja California,Total,Analfabetos,Mujeres,40775,7526,4598,2617,1330,2755,1589,1919,2235,4446,3258,2509,3583,2410
65,Estados Unidos Mexicanos,Baja California,Urbana,Total,Total,316101,13014,12525,11580,9969,46589,36080,31060,29773,52710,32291,19852,15931,4727
66,Estados Unidos Mexicanos,Baja California,Urbana,Total,Hombres,156025,6598,6348,5913,4962,23007,17031,15507,13946,26414,16776,9437,8280,1806
67,Estados Unidos Mexicanos,Baja California,Urbana,Total,Mujeres,160076,6416,6177,5667,5007,23582,19049,15553,15827,26296,15515,10415,7651,2921
68,Estados Unidos Mexicanos,Baja California,Urbana,Alfabetos,Total,266304,1796,6429,7830,8192,43195,34393,29091,27478,47771,28413,16520,11696,3500
69,Estados Unidos Mexicanos,Baja California,Urbana,Alfabetos,Hombres,133455,890,3415,3943,4045,21253,16286,14778,13163,24492,15239,8221,6640,1090
70,Estados Unidos Mexicanos,Baja California,Urbana,Alfabetos,Mujeres,132849,906,3014,3887,4147,21942,18107,14313,14315,23279,13174,8299,5056,2410
71,Estados Unidos Mexicanos,Baja California,Urbana,Analfabetos,Total,49797,11218,6096,3750,1777,3394,1687,1969,2295,4939,3878,3332,4235,1227
72,Estados Unidos Mexicanos,Baja California,Urbana,Analfabetos,Hombres,22570,5708,2933,1970,917,1754,745,729,783,1922,1537,1216,1640,716
73,Estados Unidos Mexicanos,Baja California,Urbana,Analfabetos,Mujeres,27227,5510,3163,1780,860,1640,942,1240,1512,3017,2341,2116,2595,511
74,Estados Unidos Mexicanos,Baja California,Rural,Total,Total,91850,4464,4414,4039,3441,15429,11813,6729,8257,12713,7957,5180,4659,2755
75,Estados Unidos Mexicanos,Baja California,Rural,Total,Hombres,49225,2258,2253,2097,1743,8036,6116,3638,4489,7233,4403,3641,2538,780
76,Estados Unidos Mexicanos,Baja California,Rural,Total,Mujeres,42625,2206,2161,1942,1698,7393,5697,3091,3768,5480,3554,1539,2121,1975
77,Estados Unidos Mexicanos,Baja California,Rural,Alfabetos,Total,64647,352,1474,2288,2437,13037,10461,5459,6829,9948,6041,3854,2212,255
78,Estados Unidos Mexicanos,Baja California,Rural,Alfabetos,Hombres,35570,162,748,1183,1209,6759,5411,3047,3784,5897,3404,2708,1079,179
79,Estados Unidos Mexicanos,Baja California,Rural,Alfabetos,Mujeres,29077,190,726,1105,1228,6278,5050,2412,3045,4051,2637,1146,1133,76
80,Estados Unidos Mexicanos,Baja California,Rural,Analfabetos,Total,27203,4112,2940,1751,1004,2392,1352,1270,1428,2765,1916,1326,2447,2500
81,Estados Unidos Mexicanos,Baja California,Rural,Analfabetos,Hombres,13655,2096,1505,914,534,1277,705,591,705,1336,999,933,1459,601
82,Estados Unidos Mexicanos,Baja California,Rural,Analfabetos,Mujeres,13548,2016,1435,837,470,1115,647,679,723,1429,917,393,988,1899
83,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Total,Total,64701,2641,2635,2352,2080,10123,8289,6650,5576,8763,6277,4230,4691,394
84,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Total,Hombres,33102,1358,1414,1242,1062,5146,4185,3298,2842,4471,3324,2246,2302,212
85,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Total,Mujeres,31599,1283,1221,1110,1018,4977,4104,3352,2734,4292,2953,1984,2389,182
86,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Alfabetos,Total,51438,509,1276,1553,1595,8688,7393,6043,5064,7620,5147,3266,3061,223
87,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Alfabetos,Hombres,26273,249,653,791,791,4370,3701,3013,2613,3925,2731,1780,1538,118
88,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Alfabetos,Mujeres,25165,260,623,762,804,4318,3692,3030,2451,3695,2416,1486,1523,105
89,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Analfabetos,Total,13263,2132,1359,799,485,1435,896,607,512,1143,1130,964,1630,171
90,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Analfabetos,Hombres,6829,1109,761,451,271,776,484,285,229,546,593,466,764,94
91,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,Analfabetos,Mujeres,6434,1023,598,348,214,659,412,322,283,597,537,498,866,77
92,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Total,Total,23618,941,970,835,745,3624,2956,2512,2160,3415,2304,1489,1549,118
93,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Total,Hombres,11676,487,547,443,368,1765,1418,1198,1070,1676,1151,775,720,58
94,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Total,Mujeres,11942,454,423,392,377,1859,1538,1314,1090,1739,1153,714,829,60
95,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Alfabetos,Total,20099,208,559,622,642,3363,2754,2358,2026,3109,2016,1232,1139,71
96,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Alfabetos,Hombres,9953,109,291,324,310,1644,1312,1127,1020,1553,1017,666,548,32
97,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Alfabetos,Mujeres,10146,99,268,298,332,1719,1442,1231,1006,1556,999,566,591,39
98,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Analfabetos,Total,3519,733,411,213,103,261,202,154,134,306,288,257,410,47
99,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Analfabetos,Hombres,1723,378,256,119,58,121,106,71,50,123,134,109,172,26
100,Estados Unidos Mexicanos,Baja California Territorio Sur,Urbana,Analfabetos,Mujeres,1796,355,155,94,45,140,96,83,84,183,154,148,238,21
101,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Total,Total,41083,1700,1665,1517,1335,6499,5333,4138,3416,5348,3973,2741,3142,276
102,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Total,Hombres,21426,871,867,799,694,3381,2767,2100,1772,2795,2173,1471,1582,154
103,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Total,Mujeres,19657,829,798,718,641,3118,2566,2038,1644,2553,1800,1270,1560,122
104,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Alfabetos,Total,31339,301,717,931,953,5325,4639,3685,3038,4511,3131,2034,1922,152
105,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Alfabetos,Hombres,16320,140,362,467,481,2726,2389,1886,1593,2372,1714,1114,990,86
106,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Alfabetos,Mujeres,15019,161,355,464,472,2599,2250,1799,1445,2139,1417,920,932,66
107,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Analfabetos,Total,9744,1399,948,586,382,1174,694,453,378,837,842,707,1220,124
108,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Analfabetos,Hombres,5106,731,505,332,213,655,378,214,179,423,459,357,592,68
109,Estados Unidos Mexicanos,Baja California Territorio Sur,Rural,Analfabetos,Mujeres,4638,668,443,254,169,519,316,239,199,414,383,350,628,56
110,Estados Unidos Mexicanos,Campeche,Total,Total,Total,135400,5635,5532,5327,4312,21040,16699,13982,12097,19736,12653,8507,9129,751
111,Estados Unidos Mexicanos,Campeche,Total,Total,Hombres,68380,2789,2945,2716,2138,10818,8271,6600,5680,10019,6616,4472,4898,418
112,Estados Unidos Mexicanos,Campeche,Total,Total,Mujeres,67020,2846,2587,2611,2174,10222,8428,7382,6417,9717,6037,4035,4231,333
113,Estados Unidos Mexicanos,Campeche,Total,Alfabetos,Total,92202,1313,2593,3282,3068,16783,13409,10816,8866,13716,8150,5065,4773,368
114,Estados Unidos Mexicanos,Campeche,Total,Alfabetos,Hombres,48890,675,1401,1666,1510,8722,6802,5360,4417,7519,4748,3053,2806,211
115,Estados Unidos Mexicanos,Campeche,Total,Alfabetos,Mujeres,43312,638,1192,1616,1558,8061,6607,5456,4449,6197,3402,2012,1967,157
116,Estados Unidos Mexicanos,Campeche,Total,Analfabetos,Total,43198,4322,2939,2045,1244,4257,3290,3166,3231,6020,4503,3442,4356,383
117,Estados Unidos Mexicanos,Campeche,Total,Analfabetos,Hombres,19490,2114,1544,1050,628,2096,1469,1240,1263,2500,1868,1419,2092,207
118,Estados Unidos Mexicanos,Campeche,Total,Analfabetos,Mujeres,23708,2208,1395,995,616,2161,1821,1926,1968,3520,2635,2023,2264,176
119,Estados Unidos Mexicanos,Campeche,Urbana,Total,Total,85669,3318,3322,3227,2664,13116,10509,8810,7522,12672,8192,5526,6256,535
120,Estados Unidos Mexicanos,Campeche,Urbana,Total,Hombres,42014,1650,1757,1650,1307,6678,4978,4016,3405,6233,4134,2755,3155,296
121,Estados Unidos Mexicanos,Campeche,Urbana,Total,Mujeres,43655,1668,1565,1577,1357,6438,5531,4794,4117,6439,4058,2771,3101,239
122,Estados Unidos Mexicanos,Campeche,Urbana,Alfabetos,Total,64191,958,1908,2275,2106,11153,8985,7335,5999,9735,5849,3747,3811,330
123,Estados Unidos Mexicanos,Campeche,Urbana,Alfabetos,Hombres,32701,490,1014,1140,1021,5731,4320,3467,2829,5046,3234,2097,2123,189
124,Estados Unidos Mexicanos,Campeche,Urbana,Alfabetos,Mujeres,31490,468,894,1135,1085,5422,4665,3868,3170,4689,2615,1650,1688,141
125,Estados Unidos Mexicanos,Campeche,Urbana,Analfabetos,Total,21478,2360,1414,952,558,1963,1524,1475,1523,2937,2343,1779,2445,205
126,Estados Unidos Mexicanos,Campeche,Urbana,Analfabetos,Hombres,9313,1160,743,510,286,947,658,549,576,1187,900,658,1032,107
127,Estados Unidos Mexicanos,Campeche,Urbana,Analfabetos,Mujeres,12165,1200,671,442,272,1016,866,926,947,1750,1443,1121,1413,98
128,Estados Unidos Mexicanos,Campeche,Rural,Total,Total,49731,2317,2210,2100,1648,7924,6190,5172,4575,7064,4461,2981,2873,216
129,Estados Unidos Mexicanos,Campeche,Rural,Total,Hombres,26366,1139,1188,1066,831,4140,3293,2584,2275,3786,2482,1717,1743,122
130,Estados Unidos Mexicanos,Campeche,Rural,Total,Mujeres,23365,1178,1022,1034,817,3784,2897,2588,2300,3278,1979,1264,1130,94
131,Estados Unidos Mexicanos,Campeche,Rural,Alfabetos,Total,28011,355,685,1007,962,5630,4424,3481,2867,3981,2301,1318,962,38
132,Estados Unidos Mexicanos,Campeche,Rural,Alfabetos,Hombres,16189,185,387,526,489,2991,2482,1893,1588,2473,1514,956,683,22
133,Estados Unidos Mexicanos,Campeche,Rural,Alfabetos,Mujeres,11822,170,298,481,473,2639,1942,1588,1279,1508,787,362,279,16
134,Estados Unidos Mexicanos,Campeche,Rural,Analfabetos,Total,21720,1962,1525,1093,686,2294,1766,1691,1708,3083,2160,1663,1911,178
135,Estados Unidos Mexicanos,Campeche,Rural,Analfabetos,Hombres,10177,954,801,540,342,1149,811,691,687,1313,968,761,1060,100
136,Estados Unidos Mexicanos,Campeche,Rural,Analfabetos,Mujeres,11543,1008,724,553,344,1145,955,1000,1021,1770,1192,902,851,78
137,Estados Unidos Mexicanos,Coahuila,Total,Total,Total,729283,28109,27125,26219,23530,115278,94056,77290,61331,100695,68016,52258,50526,4850
138,Estados Unidos Mexicanos,Coahuila,Total,Total,Hombres,367496,14333,13822,13328,11908,58964,46951,36931,29654,50228,34256,27755,26296,3070
139,Estados Unidos Mexicanos,Coahuila,Total,Total,Mujeres,361787,13776,13303,12891,11622,56314,47105,40359,31677,50467,33760,24503,24230,1780
140,Estados Unidos Mexicanos,Coahuila,Total,Alfabetos,Total,586382,3272,11635,18288,19460,105565,87483,70805,55120,88650,55586,37735,30369,2414
141,Estados Unidos Mexicanos,Coahuila,Total,Alfabetos,Hombres,299465,1620,5791,9156,9712,53541,43462,33965,27005,45240,29683,21625,17160,1505
142,Estados Unidos Mexicanos,Coahuila,Total,Alfabetos,Mujeres,286917,1652,5844,9132,9748,52024,44021,36840,28115,43410,25903,16110,13209,909
143,Estados Unidos Mexicanos,Coahuila,Total,Analfabetos,Total,142901,24837,15490,7931,4070,9713,6573,6485,6211,12045,12430,14523,20157,2436
144,Estados Unidos Mexicanos,Coahuila,Total,Analfabetos,Hombres,68031,12713,8031,4172,2196,5423,3489,2966,2649,4988,4573,6130,9136,1565
145,Estados Unidos Mexicanos,Coahuila,Total,Analfabetos,Mujeres,74870,12124,7459,3759,1874,4290,3084,3519,3562,7057,7857,8393,11021,871
146,Estados Unidos Mexicanos,Coahuila,Urbana,Total,Total,483523,17865,17352,16655,15075,76956,62786,51573,40918,66884,45858,34168,33709,3724
147,Estados Unidos Mexicanos,Coahuila,Urbana,Total,Hombres,236760,9099,8891,8384,7613,38893,30350,23573,19135,32290,22381,17258,16573,2320
148,Estados Unidos Mexicanos,Coahuila,Urbana,Total,Mujeres,246763,8766,8461,8271,7462,38063,32436,28000,21783,34594,23477,16910,17136,1404
