,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos de edad,Saben leer y escribir :Hombres y mujeres,Saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres
55,Estados Unidos Mexicanos,Total,De 20 000 a 49 999 habitantes,De 40 años y más,584047,278300,305747,426677,221748,204929,157370,56552,100818
56,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,Total,11038431,5292617,5745814,9361523,4586324,4775199,1676908,706293,970615
57,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 6 a 9 años,1554559,787288,767271,916520,457974,458546,638039,329314,308725
58,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 10 a 14 años,1721538,861042,860496,1610308,805415,804893,111230,55627,55603
59,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 15 a 19 años,1520718,720462,800256,1430721,683568,747153,89997,36894,53103
60,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 20 a 24 años,1270906,593431,677475,1179956,560418,619538,90950,33013,57937
61,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 25 a 29 años,981385,465767,515618,894162,435191,458971,87223,30576,56647
62,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 30 a 34 años,777326,374118,403208,697879,346079,351800,79447,28039,51408
63,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 35 a 39 años,721210,342363,378847,628135,311178,316957,93075,31185,61890
64,Estados Unidos Mexicanos,Total,De 50 000 habitantes y más,De 40 años y más,2490789,1148146,1342643,2003842,986501,1017341,486947,161645,325302
65,Estados Unidos Mexicanos,Aguascalientes,Total,Total,265809,130542,135267,214487,107317,107170,51322,23225,28097
66,Estados Unidos Mexicanos,Aguascalientes,Total,De 6 a 9 años,43355,22160,21195,24679,12452,12227,18676,9708,8968
67,Estados Unidos Mexicanos,Aguascalientes,Total,De 10 a 14 años,46021,23407,22614,42739,21700,21039,3282,1707,1575
68,Estados Unidos Mexicanos,Aguascalientes,Total,De 15 a 19 años,36192,17849,18343,33762,16728,17034,2430,1121,1309
69,Estados Unidos Mexicanos,Aguascalientes,Total,De 20 a 24 años,26978,12773,14205,24281,11604,12677,2697,1169,1528
70,Estados Unidos Mexicanos,Aguascalientes,Total,De 25 a 29 años,20223,9694,10529,17865,8750,9115,2358,944,1414
71,Estados Unidos Mexicanos,Aguascalientes,Total,De 30 a 34 años,16315,7693,8622,14186,6872,7314,2129,821,1308
72,Estados Unidos Mexicanos,Aguascalientes,Total,De 35 a 39 años,15756,7446,8310,13212,6499,6713,2544,947,1597
73,Estados Unidos Mexicanos,Aguascalientes,Total,De 40 años y más,60969,29520,31449,43763,22712,21051,17206,6808,10398
74,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,Total,93883,48335,45548,72959,38116,34843,20924,10219,10705
75,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 6 a 9 años,16538,8546,7992,8601,4365,4236,7937,4181,3756
76,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 10 a 14 años,17175,8901,8274,15647,8039,7608,1528,862,666
77,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 15 a 19 años,12698,6531,6167,11724,6008,5716,974,523,451
78,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 20 a 24 años,9232,4670,4562,8231,4204,4027,1001,466,535
79,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 25 a 29 años,7042,3521,3521,6164,3158,3006,878,363,515
80,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 30 a 34 años,5638,2854,2784,4850,2508,2342,788,346,442
81,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 35 a 39 años,5538,2819,2719,4616,2430,2186,922,389,533
82,Estados Unidos Mexicanos,Aguascalientes,Hasta 2 499 habitantes,De 40 años y más,20022,10493,9529,13126,7404,5722,6896,3089,3807
83,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,Total,7307,3703,3604,6009,3066,2943,1298,637,661
84,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 6 a 9 años,1280,654,626,743,371,372,537,283,254
85,Estados Unidos Mexicanos,Aguascalientes,De 2 500 a 4 999 habitantes,De 10 a 14 años,1299,695,604,1240,661,579,59,34,25
