,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
80,Estados Unidos Mexicanos,07 Chiapas,12 años,103176,53364,49812,90822,47677,43145,12184,5605,6579,170,82,88
81,Estados Unidos Mexicanos,07 Chiapas,13 años,87525,43414,44111,78262,39447,38815,9122,3906,5216,141,61,80
82,Estados Unidos Mexicanos,07 Chiapas,14 años,90018,44837,45181,80198,40801,39397,9667,3960,5707,153,76,77
83,Estados Unidos Mexicanos,08 Chihuahua,Total,545371,277354,268017,480868,243208,237660,61986,32881,29105,2517,1265,1252
84,Estados Unidos Mexicanos,08 Chihuahua,6 años,65424,33081,32343,27231,13377,13854,36914,19039,17875,1279,665,614
85,Estados Unidos Mexicanos,08 Chihuahua,7 años,62626,31824,30802,52810,26490,26320,9514,5180,4334,302,154,148
86,Estados Unidos Mexicanos,08 Chihuahua,8 años,64147,32836,31311,59020,30058,28962,4948,2704,2244,179,74,105
87,Estados Unidos Mexicanos,08 Chihuahua,9 años,60001,30610,29391,57249,29068,28181,2572,1456,1116,180,86,94
88,Estados Unidos Mexicanos,08 Chihuahua,10 años,62675,32090,30585,60232,30740,29492,2324,1299,1025,119,51,68
89,Estados Unidos Mexicanos,08 Chihuahua,11 años,56538,28937,27601,55084,28111,26973,1346,774,572,108,52,56
90,Estados Unidos Mexicanos,08 Chihuahua,12 años,60285,30740,29545,58510,29765,28745,1642,902,740,133,73,60
91,Estados Unidos Mexicanos,08 Chihuahua,13 años,57388,28811,28577,55928,28007,27921,1348,748,600,112,56,56
92,Estados Unidos Mexicanos,08 Chihuahua,14 años,56287,28425,27862,54804,27592,27212,1378,779,599,105,54,51
93,Estados Unidos Mexicanos,09 Distrito Federal,Total,1407669,712308,695361,1314278,664259,650019,89769,46381,43388,3622,1668,1954
94,Estados Unidos Mexicanos,09 Distrito Federal,6 años,159326,80802,78524,91840,46185,45655,66425,34084,32341,1061,533,528
